title,description,recipeLink,keywords,ratingCount,ratingValue,recipeCategory,recipeCuisine,keywords_merged,recipeCategory_merged,recipeCuisine_merged,soup,imageLink
Harissa lamb with chickpeas,"This Moroccan-inspired, slow-cooked lamb dish is low in calories and only uses six ingredients. If you want to make it five, leave out the apricots � you�ll save on sugar too. If you're on a low-calorie diet, pair it with a low-calorie breakfast and/or lunch as it's a little over 500 calories. 

Each serving provides 522 kcal, 50g protein, 32g carbohydrates (of which 20g sugars), 19g fat (of which 7g saturates), 9g fibre and 0.5g salt. 

With a GI of 45 this meal is  <a href=""https://www.bbc.co.uk/food/diets/high_protein_low_GI_diet"">high protein, low GI</a>.",https://www.bbc.co.uk/food/recipes/harissa_lamb_with_92207,"easy chickpea, 5-ingredient low-cal dinners, 5 ingredient meals, 6 ingredient one-pot dinners, 600-calorie dinners, better for you carbs, easy lamb, healthy and filling, healthy dinner, healthy lamb, healthy recipes to make and freeze, high-protein low-gi meat, low-calorie, recipes for iftar, healthy diet plans, healthy summer, spring recipes , summer dinner, stew, leg of lamb, harissa, chickpea, dairy free, egg free, gluten free, healthy, nut free, pregnancy friendly",25.0,4.3,Main course,,easychickpea 5-ingredientlow-caldinners 5ingredientmeals 6ingredientone-potdinners 600-caloriedinners betterforyoucarbs easylamb healthyandfilling healthydinner healthylamb healthyrecipestomakeandfreeze high-proteinlow-gimeat low-calorie recipesforiftar healthydietplans healthysummer springrecipes summerdinner stew legoflamb harissa chickpea dairyfree eggfree glutenfree healthy nutfree pregnancyfriendly,maincourse,nan,maincourse nan easychickpea 5-ingredientlow-caldinners 5ingredientmeals 6ingredientone-potdinners 600-caloriedinners betterforyoucarbs easylamb healthyandfilling healthydinner healthylamb healthyrecipestomakeandfreeze high-proteinlow-gimeat low-calorie recipesforiftar healthydietplans healthysummer springrecipes summerdinner stew legoflamb harissa chickpea dairyfree eggfree glutenfree healthy nutfree pregnancyfriendly,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/harissa_lamb_with_92207_16x9.jpg
Lemon and lime chicken with egg-fried rice,Save time in the kitchen by 'butterflying' chicken breasts to cook quickly with this easy dish from The Hairy Bikers that's ready in 20 minutes.,https://www.bbc.co.uk/food/recipes/lemon_and_lime_chicken_27815,"quick, affordable 30-minute meals for two , hairy bikers� quick comforts , spring chicken recipes , valentine's day, fried rice, chicken breast, long-grain rice, dairy free, pregnancy friendly, The Hairy Bikers' Cook Off",11.0,4.9,Main course,Thai and South-East Asian,quick affordable30-minutemealsfortwo hairybikers�quickcomforts springchickenrecipes valentine'sday friedrice chickenbreast long-grainrice dairyfree pregnancyfriendly thehairybikers'cookoff,maincourse,thaiandsouth-eastasian,maincourse thaiandsouth-eastasian quick affordable30-minutemealsfortwo hairybikers�quickcomforts springchickenrecipes valentine'sday friedrice chickenbreast long-grainrice dairyfree pregnancyfriendly thehairybikers'cookoff,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/lemon_and_lime_chicken_27815_16x9.jpg
Chocolate profiteroles,"James Martin's profiteroles are as light as air, topped with chocolate and filled with a delicate orange cream.",https://www.bbc.co.uk/food/recipes/chocolateprofiterole_86196,"decadent dessert, excellent easter chocolate , afternoon tea , easter, mother's day, new year and hogmanay, party food, profiteroles, nut free, pregnancy friendly, vegetarian, Sweet Baby James",25.0,3.1,Desserts,,decadentdessert excellenteasterchocolate afternoontea easter mother'sday newyearandhogmanay partyfood profiteroles nutfree pregnancyfriendly vegetarian sweetbabyjames,desserts,nan,desserts nan decadentdessert excellenteasterchocolate afternoontea easter mother'sday newyearandhogmanay partyfood profiteroles nutfree pregnancyfriendly vegetarian sweetbabyjames,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chocolateprofiterole_86196_16x9.jpg
Chicken balti,This fresh-tasting easy chicken balti curry is a delicious recipe to have up your sleeve when you�re cooking for two.,https://www.bbc.co.uk/food/recipes/chickenandspinachbal_86977,"quick, quick curry, diwali, eid al-fitr, chicken curry, chicken breast, egg free, nut free, pregnancy friendly, Take on the Takeaway",25.0,4.4,Main course,Pakistani,quick quickcurry diwali eidal-fitr chickencurry chickenbreast eggfree nutfree pregnancyfriendly takeonthetakeaway,maincourse,pakistani,maincourse pakistani quick quickcurry diwali eidal-fitr chickencurry chickenbreast eggfree nutfree pregnancyfriendly takeonthetakeaway,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chickenandspinachbal_86977_16x9.jpg
Hot cross buns,"Traditional spiced, sticky glazed fruit buns with pastry crosses. Served as a classic Easter treat, the buns can also be enjoyed at any time of year.

Each serving provides 313 kcal, 8.5g protein, 57g carbohydrates (of which 16.5g sugars), 5g fat (of which 3g saturates), 2g fibre and 0.5g salt.",https://www.bbc.co.uk/food/recipes/hotcrossbuns_397,"afternoon tea, easter, spring recipes , hot cross buns, dried fruit, nut free, pregnancy friendly, vegetarian",12.0,4.2,Cakes and baking,British,afternoontea easter springrecipes hotcrossbuns driedfruit nutfree pregnancyfriendly vegetarian,cakesandbaking,british,cakesandbaking british afternoontea easter springrecipes hotcrossbuns driedfruit nutfree pregnancyfriendly vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/hotcrossbuns_397_16x9.jpg
Mediterranean puff pastry tart,"You can vary the vegetables and herbs in this puff pastry tart according to what you have. Leave yourself an extra hour preparation so that the pastry has time to rest.

Each serving provides 400 kcals, 13g protein, 43g carbohydrates (of which 8.5g sugars) 18.5g fat (of which 10g saturates), 6g fibre and 0.7g salt ",https://www.bbc.co.uk/food/recipes/mediterranean_puff_50963,"400-calorie dinners, al desko, vegetarian fresh start for the family, a very veggie easter, brilliant ways to use roasted vegetables, easiest ever vegetarian recipes for 1-2, easy picnic, easy picnic snacks, easy vegetarian, egg-free children's party, vegetarian easter menu, luxury weeknight meals, prep-ahead meals, summer sunday lunch, vegetarian mothering sunday mains, veg from the med, easy family dinners, lunch, spring recipes , summer dinner, tarts, puff pastry, egg free, nut free, pregnancy friendly, vegetarian, Tom Kerridge's Lose Weight For Good",14.0,4.4,Main course,,400-caloriedinners aldesko vegetarianfreshstartforthefamily averyveggieeaster brilliantwaystouseroastedvegetables easiestevervegetarianrecipesfor1-2 easypicnic easypicnicsnacks easyvegetarian egg-freechildren'sparty vegetarianeastermenu luxuryweeknightmeals prep-aheadmeals summersundaylunch vegetarianmotheringsundaymains vegfromthemed easyfamilydinners lunch springrecipes summerdinner tarts puffpastry eggfree nutfree pregnancyfriendly vegetarian tomkerridge'sloseweightforgood,maincourse,nan,maincourse nan 400-caloriedinners aldesko vegetarianfreshstartforthefamily averyveggieeaster brilliantwaystouseroastedvegetables easiestevervegetarianrecipesfor1-2 easypicnic easypicnicsnacks easyvegetarian egg-freechildren'sparty vegetarianeastermenu luxuryweeknightmeals prep-aheadmeals summersundaylunch vegetarianmotheringsundaymains vegfromthemed easyfamilydinners lunch springrecipes summerdinner tarts puffpastry eggfree nutfree pregnancyfriendly vegetarian tomkerridge'sloseweightforgood,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/mediterranean_puff_50963_16x9.jpg
Madeleines,"Bake a batch of these buttery little French cakes to have with a cup of tea or coffee.

Equipment and preparation: You will need a 12-cup madeleine tray. ",https://www.bbc.co.uk/food/recipes/madeleine_15211,"afternoon tea , world baking, afternoon tea, madeleines, nut free, pregnancy friendly, vegetarian, Food & Drink",43.0,4.6,Cakes and baking,French,afternoontea worldbaking afternoontea madeleines nutfree pregnancyfriendly vegetarian food&drink,cakesandbaking,french,cakesandbaking french afternoontea worldbaking afternoontea madeleines nutfree pregnancyfriendly vegetarian food&drink,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/madeleine_15211_16x9.jpg
Ginger and pear upside-down cake,This traditional upside-down pear cake is given a fiery twist with the addition of ginger and dark rum. Serve with ice cream as a dessert or by itself as a teatime treat.,https://www.bbc.co.uk/food/recipes/ginger_and_pear_61641,"autumnal baking, baking with spice, alternative christmas desserts, father's day cakes , great british puddings, spiced cakes, autumn, bonfire night, boxing day, upside-down cake, pear, nut free, pregnancy friendly, vegetarian, autumn, winter, Best Home Cook",14.0,4.0,Cakes and baking,British,autumnalbaking bakingwithspice alternativechristmasdesserts father'sdaycakes greatbritishpuddings spicedcakes autumn bonfirenight boxingday upside-downcake pear nutfree pregnancyfriendly vegetarian autumn winter besthomecook,cakesandbaking,british,cakesandbaking british autumnalbaking bakingwithspice alternativechristmasdesserts father'sdaycakes greatbritishpuddings spicedcakes autumn bonfirenight boxingday upside-downcake pear nutfree pregnancyfriendly vegetarian autumn winter besthomecook,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/ginger_and_pear_61641_16x9.jpg
Mac & cheese,"Someone I met in Palermo once told me that the secret of good Italian dishes is �esagera� � put more of everything in � and so it is with this mac & cheese recipe. There�s masses of cheese and plenty of smoked bacon.

Equipment: you will need a 35x20cm/14x8in ovenproof dish.",https://www.bbc.co.uk/food/recipes/mac_n_cheese_70611,"comfort food, easy crowd-pleasers, easy pasta bakes, festival, luxury weeknight meals, macaroni, snow day, winter warmers, autumn, boxing day, thanksgiving, winter, macaroni cheese, cheddar, macaroni, bacon, egg free, nut free, pregnancy friendly, Rick Stein's Road To Mexico",43.0,4.6,Main course,American,comfortfood easycrowd-pleasers easypastabakes festival luxuryweeknightmeals macaroni snowday winterwarmers autumn boxingday thanksgiving winter macaronicheese cheddar macaroni bacon eggfree nutfree pregnancyfriendly rickstein'sroadtomexico,maincourse,american,maincourse american comfortfood easycrowd-pleasers easypastabakes festival luxuryweeknightmeals macaroni snowday winterwarmers autumn boxingday thanksgiving winter macaronicheese cheddar macaroni bacon eggfree nutfree pregnancyfriendly rickstein'sroadtomexico,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/mac_n_cheese_70611_16x9.jpg
Mince and dumplings,"Embrace autumn with a great, big hug of a dish: comforting mince and dumplings. ",https://www.bbc.co.uk/food/recipes/mince_and_dumplings_47431,"hairy bikers' comfort food, making the most of mince, bonfire night, winter, beef stew, beef mince, dairy free, egg free, nut free, Hairy Bikers' Best of British",32.0,4.8,Main course,British,hairybikers'comfortfood makingthemostofmince bonfirenight winter beefstew beefmince dairyfree eggfree nutfree hairybikers'bestofbritish,maincourse,british,maincourse british hairybikers'comfortfood makingthemostofmince bonfirenight winter beefstew beefmince dairyfree eggfree nutfree hairybikers'bestofbritish,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/mince_and_dumplings_47431_16x9.jpg
Spicy black bean quesadilla,"Quesadillas are just fancy for flattened, fried wraps - black beans and cheese fill these with an avocado side salad.",https://www.bbc.co.uk/food/recipes/spicyblackbeanquesad_92202,"quick, al desko, easy quesadillas, tasty snack, easy veggie suppers , how to cook basic meals, meat-free mexican, some like it hot, vegetarian wraps, lunch, student food, quesadilla, black bean, egg free, nut free, pregnancy friendly, vegetarian, Economy Gastronomy",18.0,4.8,Light meals & snacks,Mexican,quick aldesko easyquesadillas tastysnack easyveggiesuppers howtocookbasicmeals meat-freemexican somelikeithot vegetarianwraps lunch studentfood quesadilla blackbean eggfree nutfree pregnancyfriendly vegetarian economygastronomy,lightmeals&snacks,mexican,lightmeals&snacks mexican quick aldesko easyquesadillas tastysnack easyveggiesuppers howtocookbasicmeals meat-freemexican somelikeithot vegetarianwraps lunch studentfood quesadilla blackbean eggfree nutfree pregnancyfriendly vegetarian economygastronomy,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/spicyblackbeanquesad_92202_16x9.jpg
Cheese and ham omelette,"Try this classic omelette for brunch or serve with lots of green salad for a quick and satisfying dinner.

Each serving provides 492 kcal, 39g protein, 0g carbohydrates (of which 0g sugars), 37g fat (of which 17g saturates), 0g fibre and 3.3g salt.",https://www.bbc.co.uk/food/recipes/cheeseomelette_80621,"quick, 15 minute meals, 20 minute meals, 5 ingredient meals, perfectly portioned dinners, breakfast for dinner, cheap 15-minute meals for one, easy omelettes, england footballers' favourite foods, meals for one, simplest ever suppers, take 5 ingredients, the quickest dinners ever, recipes for kids, omelette, egg, nut free",16.0,4.4,Brunch,French,quick 15minutemeals 20minutemeals 5ingredientmeals perfectlyportioneddinners breakfastfordinner cheap15-minutemealsforone easyomelettes englandfootballers'favouritefoods mealsforone simplesteversuppers take5ingredients thequickestdinnersever recipesforkids omelette egg nutfree,brunch,french,brunch french quick 15minutemeals 20minutemeals 5ingredientmeals perfectlyportioneddinners breakfastfordinner cheap15-minutemealsforone easyomelettes englandfootballers'favouritefoods mealsforone simplesteversuppers take5ingredients thequickestdinnersever recipesforkids omelette egg nutfree,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/cheeseomelette_80621_16x9.jpg
Chicken and chorizo jambalaya,"A delicious jumble of smoky sausage, chicken, tomato and rice. Jambalaya also makes a great lunch the next day. ",https://www.bbc.co.uk/food/recipes/easy_jambalaya_77952,"quick, 8 dinners with 8 ingredients , camping, cheap meals for two, cheap rice, comfort food, easy rice, one-pot wonders, quick and cheap dinners, quick budget dinners, quick rice, quick sausage, simple sausage suppers , summery sausages, autumn, student food, winter, chicken thigh, sausage, dairy free, egg free, nut free, pregnancy friendly",36.0,4.8,Main course,American,quick 8dinnerswith8ingredients camping cheapmealsfortwo cheaprice comfortfood easyrice one-potwonders quickandcheapdinners quickbudgetdinners quickrice quicksausage simplesausagesuppers summerysausages autumn studentfood winter chickenthigh sausage dairyfree eggfree nutfree pregnancyfriendly,maincourse,american,maincourse american quick 8dinnerswith8ingredients camping cheapmealsfortwo cheaprice comfortfood easyrice one-potwonders quickandcheapdinners quickbudgetdinners quickrice quicksausage simplesausagesuppers summerysausages autumn studentfood winter chickenthigh sausage dairyfree eggfree nutfree pregnancyfriendly,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/easy_jambalaya_77952_16x9.jpg
Slow-cooked roast chicken with gravy,"Tom Kerridge�s quintessential Sunday roast chicken is guaranteed to bring the family together around the table. 

Use up any leftover chicken in sandwiches or in a quick chicken curry, leftover chicken will keep in the fridge for 1 day. 
",https://www.bbc.co.uk/food/recipes/easy_roast_chicken_with_29774,"10 recipes every student should know, easter made easy, easy british, easy mother's day menu, easy roast chicken dinner, eat well for less, christmas, mother's day, roast dinner, valentine's day, winter, roast chicken, chicken, egg free, nut free, pregnancy friendly",15.0,4.8,Main course,British,10recipeseverystudentshouldknow eastermadeeasy easybritish easymother'sdaymenu easyroastchickendinner eatwellforless christmas mother'sday roastdinner valentine'sday winter roastchicken chicken eggfree nutfree pregnancyfriendly,maincourse,british,maincourse british 10recipeseverystudentshouldknow eastermadeeasy easybritish easymother'sdaymenu easyroastchickendinner eatwellforless christmas mother'sday roastdinner valentine'sday winter roastchicken chicken eggfree nutfree pregnancyfriendly,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/easy_roast_chicken_with_29774_16x9.jpg
Healthier flapjacks,"Flapjacks are perfect for taking to work, school or having a snack with a cuppa! You can use any of the dried fruit and nuts you like. This version is slightly more healthy than normal, with a bit less butter and syrup, so it's great for families.
",https://www.bbc.co.uk/food/recipes/healthier_flapjack_10498,"quick, easy picnic bakes, flour-free baking, food to fuel exercise, mother's day gifts, nut-free snack, store cupboard puddings, afternoon tea, birthday party, lunch, picnic, recipes for kids, flapjacks, oats, gluten free, nut free, pregnancy friendly, vegetarian",25.0,4.4,Cakes and baking,British,quick easypicnicbakes flour-freebaking foodtofuelexercise mother'sdaygifts nut-freesnack storecupboardpuddings afternoontea birthdayparty lunch picnic recipesforkids flapjacks oats glutenfree nutfree pregnancyfriendly vegetarian,cakesandbaking,british,cakesandbaking british quick easypicnicbakes flour-freebaking foodtofuelexercise mother'sdaygifts nut-freesnack storecupboardpuddings afternoontea birthdayparty lunch picnic recipesforkids flapjacks oats glutenfree nutfree pregnancyfriendly vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/healthier_flapjack_10498_16x9.jpg
Tofu Thai green curry,"This healthy vegetable curry is packed with nutrition and flavour. It's easily made vegetarian and vegan by switching the fish sauce out for soy sauce. 

Each serving provides 358 kcal, 14g protein, 47g carbohydrate (of which 6g sugars), 11.5g fat (of which 5g saturates), 6g fibre and 2.1g salt. ",https://www.bbc.co.uk/food/recipes/lighter_thai_green_67858,"quick, 400-calorie dinners, creamy curries , dairy-free diet fixes, diabetes, vegan carbohydrates, easy veggie curry, fresh vegetarian, healthy curry, healthy dinner, healthy pub grub, healthy vegan, low-calorie curries, low-calorie fakeaways, try tofu, vegan curry, vegan food for winter, vegan valentine's menu, vegetarian family recipes for the confident cook, healthy diet plans, thai new year, veganuary, Thai curry, aubergine, tofu, dairy free, egg free, healthy, pregnancy friendly, vegan, vegetarian, Food: Truth or Scare",14.0,4.2,Main course,Thai and South-East Asian,quick 400-caloriedinners creamycurries dairy-freedietfixes diabetes vegancarbohydrates easyveggiecurry freshvegetarian healthycurry healthydinner healthypubgrub healthyvegan low-caloriecurries low-caloriefakeaways trytofu vegancurry veganfoodforwinter veganvalentine'smenu vegetarianfamilyrecipesfortheconfidentcook healthydietplans thainewyear veganuary thaicurry aubergine tofu dairyfree eggfree healthy pregnancyfriendly vegan vegetarian food:truthorscare,maincourse,thaiandsouth-eastasian,maincourse thaiandsouth-eastasian quick 400-caloriedinners creamycurries dairy-freedietfixes diabetes vegancarbohydrates easyveggiecurry freshvegetarian healthycurry healthydinner healthypubgrub healthyvegan low-caloriecurries low-caloriefakeaways trytofu vegancurry veganfoodforwinter veganvalentine'smenu vegetarianfamilyrecipesfortheconfidentcook healthydietplans thainewyear veganuary thaicurry aubergine tofu dairyfree eggfree healthy pregnancyfriendly vegan vegetarian food:truthorscare,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/lighter_thai_green_67858_16x9.jpg
Beef and pepper stir-fry,Mary Berry bashes the steak for her stir-fry before cooking to tenderise it and then fries it as a piece (rather than in strips) for a more succulent flavour.,https://www.bbc.co.uk/food/recipes/beef_pepper_stir_fry_88499,"quick, quick and comforting, easy family dinners, summer dinner, stir-fry, rump, dairy free, nut free, pregnancy friendly, Mary Berry�s Quick Cooking",27.0,4.8,Main course,,quick quickandcomforting easyfamilydinners summerdinner stir-fry rump dairyfree nutfree pregnancyfriendly maryberry�squickcooking,maincourse,nan,maincourse nan quick quickandcomforting easyfamilydinners summerdinner stir-fry rump dairyfree nutfree pregnancyfriendly maryberry�squickcooking,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/beef_pepper_stir_fry_88499_16x9.jpg
Hot chorizo and mozzarella sandwich,"Melting mozzarella, hot chorizo and baby spinach leaves in a baguette: sandwiches don�t get better than this.",https://www.bbc.co.uk/food/recipes/hot_chorizo_and_20568,"quick, easy chorizo, hot sandwich, really good sandwiches, sandwich ideas, seriously fast food, take 5 ingredients, the best sausage, picnic, sandwich, chorizo, mozzarella, egg free, nut free, pregnancy friendly, Nigel Slater's Dish of the Day",12.0,4.6,Light meals & snacks,,quick easychorizo hotsandwich reallygoodsandwiches sandwichideas seriouslyfastfood take5ingredients thebestsausage picnic sandwich chorizo mozzarella eggfree nutfree pregnancyfriendly nigelslater'sdishoftheday,lightmeals&snacks,nan,lightmeals&snacks nan quick easychorizo hotsandwich reallygoodsandwiches sandwichideas seriouslyfastfood take5ingredients thebestsausage picnic sandwich chorizo mozzarella eggfree nutfree pregnancyfriendly nigelslater'sdishoftheday,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/hot_chorizo_and_20568_16x9.jpg
Simple Thai noodle soup,"A wonderfully warming Thai noodle soup, with fragrant spices and a little heat all balanced with rich coconut milk.",https://www.bbc.co.uk/food/recipes/thaiinspirednoodleso_92377,"quick, easy thai menu , oodles of noodles, simple thai, spicy soups, try thai, turmeric in everything, warming soup, spring recipes , thai new year, Thai soup, prawn, egg free, gluten free, pregnancy friendly, Nigel Slater's Simple Suppers",14.0,4.6,Main course,Thai and South-East Asian,quick easythaimenu oodlesofnoodles simplethai spicysoups trythai turmericineverything warmingsoup springrecipes thainewyear thaisoup prawn eggfree glutenfree pregnancyfriendly nigelslater'ssimplesuppers,maincourse,thaiandsouth-eastasian,maincourse thaiandsouth-eastasian quick easythaimenu oodlesofnoodles simplethai spicysoups trythai turmericineverything warmingsoup springrecipes thainewyear thaisoup prawn eggfree glutenfree pregnancyfriendly nigelslater'ssimplesuppers,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/thaiinspirednoodleso_92377_16x9.jpg
Baked aloo gobi with flatbreads,This vegetarian whole-baked cauliflower and potato curry can also be made suitable for vegans. ,https://www.bbc.co.uk/food/recipes/baked_aloo_gobi_with_32681,"veggie curry feast, christmas eve, clever cauliflower, indian family feasts, vegan christmas dinner, vegan curry, vegan food for winter, vegan indian, vegan valentine's day, vibrant vegan dishes, winter vegetarian meals, baisakhi, christmas, dinner party, diwali, eid al-fitr, father's day, mother's day, veganuary, vegetable curry, cauliflower, dairy free, egg free, pregnancy friendly, vegan, vegetarian, Saturday Kitchen Best Bites",25.0,4.5,Main course,Indian,veggiecurryfeast christmaseve clevercauliflower indianfamilyfeasts veganchristmasdinner vegancurry veganfoodforwinter veganindian veganvalentine'sday vibrantvegandishes wintervegetarianmeals baisakhi christmas dinnerparty diwali eidal-fitr father'sday mother'sday veganuary vegetablecurry cauliflower dairyfree eggfree pregnancyfriendly vegan vegetarian saturdaykitchenbestbites,maincourse,indian,maincourse indian veggiecurryfeast christmaseve clevercauliflower indianfamilyfeasts veganchristmasdinner vegancurry veganfoodforwinter veganindian veganvalentine'sday vibrantvegandishes wintervegetarianmeals baisakhi christmas dinnerparty diwali eidal-fitr father'sday mother'sday veganuary vegetablecurry cauliflower dairyfree eggfree pregnancyfriendly vegan vegetarian saturdaykitchenbestbites,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/baked_aloo_gobi_with_32681_16x9.jpg
Chicken and aubergine massaman curry,"A healthy Thai chicken curry that has a fraction of the fat but all the creaminess and aromatic flavour you'd expect from a Thai curry.

Each serving provides 424 kcal, 45g protein, 13g carbohydrates (of which 9g sugars), 20g fat (of which 11g saturates), 8g fibre and 0.5g salt. ",https://www.bbc.co.uk/food/recipes/chicken_and_aubergine_25245,"quick, 500-calorie dinners, affordable 30-minute meals for four, best curry, perfectly portioned dinners, easy curry, healthy chicken, healthy comfort food, healthy curry, low-calorie comfort food, low-calorie fakeaways, low-calorie, lower salt curry, lower salt chicken, quick protein fixes, autumn, simple thai, takeaway favourites, using curry paste, new ways with aubergines, easy family dinners, healthy diet plans, thai new year, Thai chicken curry, coconut milk, curry paste, chicken breast, aubergine, dairy free, egg free, gluten free, healthy",11.0,4.5,Main course,Thai and South-East Asian,quick 500-caloriedinners affordable30-minutemealsforfour bestcurry perfectlyportioneddinners easycurry healthychicken healthycomfortfood healthycurry low-caloriecomfortfood low-caloriefakeaways low-calorie lowersaltcurry lowersaltchicken quickproteinfixes autumn simplethai takeawayfavourites usingcurrypaste newwayswithaubergines easyfamilydinners healthydietplans thainewyear thaichickencurry coconutmilk currypaste chickenbreast aubergine dairyfree eggfree glutenfree healthy,maincourse,thaiandsouth-eastasian,maincourse thaiandsouth-eastasian quick 500-caloriedinners affordable30-minutemealsforfour bestcurry perfectlyportioneddinners easycurry healthychicken healthycomfortfood healthycurry low-caloriecomfortfood low-caloriefakeaways low-calorie lowersaltcurry lowersaltchicken quickproteinfixes autumn simplethai takeawayfavourites usingcurrypaste newwayswithaubergines easyfamilydinners healthydietplans thainewyear thaichickencurry coconutmilk currypaste chickenbreast aubergine dairyfree eggfree glutenfree healthy,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chicken_and_aubergine_25245_16x9.jpg
Eton mess with ginger cordial,"A splash of ginger cordial adds a twist to this classic Eton mess recipe. 

Each serving provides 584 kcal, 3g protein, 18.5g carbohydrates (of which 18g sugars), 54g fat (of which 33.5g saturates), 5g fibre and trace salt.",https://www.bbc.co.uk/food/recipes/etonmess_81082,"quick, berry, easy dinner party, england's finest, barbecue, dinner party, father's day, Eton mess, strawberry, meringue, vegetarian, spring, summer, Stately Suppers",15.0,4.6,Desserts,British,quick berry easydinnerparty england'sfinest barbecue dinnerparty father'sday etonmess strawberry meringue vegetarian spring summer statelysuppers,desserts,british,desserts british quick berry easydinnerparty england'sfinest barbecue dinnerparty father'sday etonmess strawberry meringue vegetarian spring summer statelysuppers,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/etonmess_81082_16x9.jpg
Mary Berry's classic Christmas cake,"Mary Berry�s been making her traditional Christmas cake recipe for as long as Paul Hollywood�s been alive. She knows what she�s talking about. If you don't have the required tin size, go to her <a href=""https://www.bbc.co.uk/food/articles/christmas_cake_calculator"">cake calculator</a> to recalculate the ingredients and cooking time for your cake tin.",https://www.bbc.co.uk/food/recipes/classic_christmas_cake_04076,"christmas baking, christmas baking, christmas cake decorations, classic christmas, mary berry's christmas, easy christmas, have a mary berry christmas, how to make cakes, stir-up sunday, christmas, Christmas cakes, currants, vegetarian, autumn, winter, The Great British Bake Off",55.0,4.9,Cakes and baking,British,christmasbaking christmasbaking christmascakedecorations classicchristmas maryberry'schristmas easychristmas haveamaryberrychristmas howtomakecakes stir-upsunday christmas christmascakes currants vegetarian autumn winter thegreatbritishbakeoff,cakesandbaking,british,cakesandbaking british christmasbaking christmasbaking christmascakedecorations classicchristmas maryberry'schristmas easychristmas haveamaryberrychristmas howtomakecakes stir-upsunday christmas christmascakes currants vegetarian autumn winter thegreatbritishbakeoff,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/classic_christmas_cake_04076_16x9.jpg
Saag paneer,This saag paneer recipe is so tasty and very easy to make. It's widely eaten across India but this version hails from Punjab. ,https://www.bbc.co.uk/food/recipes/spinach_paneer_41837,"veggie curry feast, cooking from scratch: curries, indian family feasts, indian vegetarian, recipes for iftar, veggie fast food , baisakhi, eid al-fitr, vegetable curry, paneer, egg free, gluten free, nut free, pregnancy friendly, vegetarian, Recipes That Made Me",17.0,4.4,Main course,Indian,veggiecurryfeast cookingfromscratch:curries indianfamilyfeasts indianvegetarian recipesforiftar veggiefastfood baisakhi eidal-fitr vegetablecurry paneer eggfree glutenfree nutfree pregnancyfriendly vegetarian recipesthatmademe,maincourse,indian,maincourse indian veggiecurryfeast cookingfromscratch:curries indianfamilyfeasts indianvegetarian recipesforiftar veggiefastfood baisakhi eidal-fitr vegetablecurry paneer eggfree glutenfree nutfree pregnancyfriendly vegetarian recipesthatmademe,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/spinach_paneer_41837_16x9.jpg
Paul Hollywood's hot cross buns,"The classic hot cross bun: easy to make, packed with flavour and irresistible when slathered with butter.",https://www.bbc.co.uk/food/recipes/hot_cross_buns_74750,"easter, hot cross buns, sultanas, nut free, pregnancy friendly, vegetarian, spring, The Great British Bake Off",24.0,4.3,Cakes and baking,British,easter hotcrossbuns sultanas nutfree pregnancyfriendly vegetarian spring thegreatbritishbakeoff,cakesandbaking,british,cakesandbaking british easter hotcrossbuns sultanas nutfree pregnancyfriendly vegetarian spring thegreatbritishbakeoff,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/hot_cross_buns_74750_16x9.jpg
