id,title,description,recipeLink,keywords,recipeType,ratingCount,ratingValue,authorType,authorName,prepTime,cookTime,recipeCategory,recipeCuisine,serving,nutrition,suitableForDiet,gotImage
1765,Roasted halibut with asparagus and a caper and butter sauce,"Halibut is a delicious, firm-textured flat fish. Take care not to overcook it as it will dry out and spoil the texture. ",https://www.bbc.co.uk/food/recipes/roasted_halibut_with_86761,"quick, halibut, egg free, gluten free, nut free, pregnancy friendly",Recipe,1,4,Person,James Martin,0.00:30:00,0.00:30:00,Main course,,Serves 2,,['http://schema.org/GlutenFreeDiet'],FALSO
1766,Confit duck leg with celeriac mash,"This hearty slow-cooked duck leg confit is classic French and all the more fabulous for it. Served with bean stew and mash, it's completely comforting. Sure, it takes time but not effort. Make to brighten up a winter day.",https://www.bbc.co.uk/food/recipes/confit_duck_leg_with_18129,"dinner party, new year and hogmanay, winter, duck confit, duck, flageolet beans, celeriac, egg free, gluten free, nut free, pregnancy friendly, winter, autumn, Saturday Kitchen Best Bites",Recipe,4,5,Person,James Martin,0.02:00:00,0.02:00:00,Main course,French,Serves 2,,['http://schema.org/GlutenFreeDiet'],FALSO
1767,Leek and potato soup,"A smooth, creamy leek and potato soup that's full of flavour. Make it into a meal with plenty of bread and butter.

Each serving provides 207 kcal, 3g protein, 11g carbohydrates (of which 4g sugars), 16g fat (of which 8.5g saturates), 3g fibre and 1.2g salt.",https://www.bbc.co.uk/food/recipes/leekandpotatosoup_1920,"quick, easter leftovers, warming soup, ways to use up potatoes, winter soups, autumn, dinner party, lunch, winter, vegetable soup, potato, leek, egg free, gluten free, nut free, pregnancy friendly, vegetarian, winter, autumn",Recipe,81,4.60494E+15,Organization,BBC Food,0.00:30:00,0.00:30:00,Light meals & snacks,British,Serves 6,"{'calories': '207kcal', 'carbohydrateContent': '11g', 'fatContent': '16g', 'fiberContent': '3g', 'proteinContent': '3g', 'saturatedFatContent': '8.5g', 'sugarContent': '4g'}","['http://schema.org/GlutenFreeDiet', 'http://schema.org/VegetarianDiet']",FALSO
1768,Toad in the hole,"You've got to love a warming toad-in-the-hole recipe when there's a nip in the air. Skip the garlic cabbage if you like and serve with another green vegetable of your choice. This is designed to be a low cost recipe.
",https://www.bbc.co.uk/food/recipes/toad_in_the_hole_with_86283,"10 absolute classics, 12 family favourites, back to basics, cheap sausage, easy classics, england's finest, go retro, retro british, the best sausage, under �4 family dinners, winter warmers, autumn, student food, st george's day, winter, toad in the hole, sausage, nut free, pregnancy friendly, winter, spring, autumn, Great British Budget Menu",Recipe,62,3.70968E+16,Person,Galton Blackiston,0.02:00:00,0.01:00:00,Main course,British,Serves 4,,[],FALSO
1769,Easy cottage pie,"James Martin's easy cottage pie recipe is a family favourite. He goes back to basics to show you how to make a classic version, but easier.",https://www.bbc.co.uk/food/recipes/classiccottagepie_90765,"12 family favourites, easy british, easy classics, food for giving, potato favourites, autumn, filling pies, using up mashed potato, winter warmers, easy family dinners, student food, st george's day, winter, cottage pie, beef mince, King Edward, egg free, nut free, winter, spring, autumn, Saturday Kitchen",Recipe,52,4.57692E+15,Person,James Martin,0.00:30:00,0.02:00:00,Main course,British,Serves 6,,[],FALSO
1770,Healthy shepherd�s pie,"This healthy shepherd's pie is perfect if your kids are fussy eaters. It's not exactly cheating by hiding their five-a-day inside. And even if it is, no jury will convict you! Plus this pie is freezer friendly so perfect for making in advance. 

This meal served as six portions provides 466 kcal, 27g protein, 36g carbohydrate (of which 10g sugars), 24g fat (of which 13g saturates), 8g fibre and 1g salt per portion.


",https://www.bbc.co.uk/food/recipes/hidden_vegetables_05418,"500-calorie dinners, easy hidden veg dinners, food for giving, half-term hits, healthy dinner, healthier fast food, healthy recipes to make and freeze, making the most of mince, recipes for fussy eaters, filling pies, veg-packed comfort food, sleep-friendly, summery family favourites, autumn, easy family dinners, winter, shepherd's pie, lamb mince, floury potato, cauliflower, egg free, healthy, nut free, pregnancy friendly, winter, spring, autumn",Recipe,7,4.71429E+15,Person,Justine Pattison,0.00:30:00,0.02:00:00,Main course,British,Serves 5-6,"{'calories': '466kcal', 'carbohydrateContent': '36g', 'fatContent': '24g', 'fiberContent': '8g', 'proteinContent': '27g', 'saturatedFatContent': '13g', 'sugarContent': '10g'}",['http://schema.org/LowCalorieDiet'],FALSO
1771,Cottage pie with parsnips,"An easy twist on a classic cottage pie recipe. James Martin gives his topping a bit of oomph with parsnips and a dash of horseradish.

Each serving provides 780 kcal, 36g protein, 56g carbohydrates (of which 18g sugars), 43g fat (of which 21g saturates), 11g fibre and 1.5g salt.",https://www.bbc.co.uk/food/recipes/comfortingcottagepie_14505,"easy mince, student food, winter, cottage pie, beef mince, potato, parsnip, egg free, gluten free, nut free, pregnancy friendly, winter, autumn, Housecall",Recipe,16,4875,Person,James Martin,0.00:30:00,0.02:00:00,Main course,British,Serves 4,"{'calories': '780kcal', 'carbohydrateContent': '56g', 'fatContent': '43g', 'fiberContent': '11g', 'proteinContent': '36g', 'saturatedFatContent': '21g', 'sugarContent': '18g'}",['http://schema.org/GlutenFreeDiet'],FALSO
1772,Mary Berry's cottage pie with dauphinoise potato ,"Mary Berry elevates the cottage pie recipe to new luxury levels with dauphinoise potatoes. It�s so much smarter than the usual cottage pie and is perfect for casual supper parties too.

Equipment and preparation: you will need a 2.4 litre/4 pint ovenproof shallow dish.
",https://www.bbc.co.uk/food/recipes/cottage_pie_with_31714,"mary berry�s 10 classic comforts, autumn, bonfire night, boxing day, winter, cottage pie, beef mince, egg free, nut free, winter, autumn, Mary Berry Cooks",Recipe,10,42,Person,Mary Berry,0.00:30:00,0.02:00:00,Main course,British,Serves 6-8,,[],FALSO
1773,Cottage pie with cheesy mash,The Hairy Bikers' warming cottage pie is topped with delicious creamy cheesy mash. It's comfort food at its very best. ,https://www.bbc.co.uk/food/recipes/cottagepiewithcheesy_93216,"football pies, hairy bikers' comfort food, retro british, st george's day, winter, cottage pie, beef mince, King Edward, egg free, nut free, winter, autumn, The Hairy Bikers: Mums Know Best",Recipe,18,3.94444E+16,Person,The Hairy Bikers,0.00:30:00,0.02:00:00,Main course,British,Serves 4,,[],FALSO
1774,Cottage pie with leeks,Leeks make a sweet addition to this cottage pie that was made to Lenny Henry's specification - complete with ketchup and Worcestershire sauce.,https://www.bbc.co.uk/food/recipes/cottagepiewithleeks_85908,"cottage pie, beef mince, egg free, nut free, pregnancy friendly, winter, autumn, A Taste of My Life",Recipe,,,Organization,BBC Food,0.00:30:00,0.01:00:00,Main course,British,Serves 4,,[],FALSO
1775,French onion soup,French onion soup is very easy to make and is deeply savoury and hearty - and cheesy cro�tons make it extra special!,https://www.bbc.co.uk/food/recipes/how_to_make_french_onion_87434,"christmas soups, easy dinner party, making the most of vegetables, seriously special soups, simple festive suppers, warming soup, christmas, dinner party, new year and hogmanay, winter, soup, onion, beef stock, gruy�re, egg free, nut free, winter, spring, autumn",Recipe,5,48,Person,Paul Merrett,0.00:30:00,0.01:00:00,Main course,French,Serves 4,,[],FALSO
1776,Healthy chicken pie,"This healthy chicken pie is easy to make and still feels like a proper pie - even though it's lower in calories. Serve with steamed veg, it's so filling you don't need anything else.

For this recipe you will need two individual pie dishes (about 400ml/14fl oz).

Each serving provides 344kcal, 41g protein, 12g carbohydrate (of which 8g sugars), 14g fat (of which 6g saturates), 3g fibre and 1.5g salt.",https://www.bbc.co.uk/food/recipes/lighter_chicken_bacon_60415,"comfort food, diabetes, healthy british classics, healthy comfort food, low-calorie comfort food, make-ahead dinners, motivational recipes for 1-2 , autumn, healthy diet plans, st david's day, winter, chicken pie, chicken breast, egg free, healthy, nut free, pregnancy friendly, winter, spring, autumn, Food: Truth or Scare",Recipe,8,4875,Person,Deborah Reddihough,0.00:30:00,0.01:00:00,Main course,,Serves 2,"{'calories': '344kcal', 'carbohydrateContent': '12g', 'fatContent': '14g', 'fiberContent': '3g', 'proteinContent': '41g', 'saturatedFatContent': '6g', 'sugarContent': '8g'}",['http://schema.org/LowCalorieDiet'],FALSO
1777,Maple-roast parsnips,Nigella's easy roast parsnips with a generous glug of maple syrup. A wonderful Christmas dinner accompaniment. ,https://www.bbc.co.uk/food/recipes/mapleroastparsnips_84758,"easy roots, christmas dinner, friendmas, making the most of vegetables, nigella's christmas favourites, nigella's christmas, roast goose menu, vegan christmas dinner, vegan roast dinner, vegan easter ideas, christmas, dinner party, roast dinner, thanksgiving, roasted vegetables, parsnip, dairy free, egg free, gluten free, nut free, pregnancy friendly, vegan, vegetarian, winter, autumn, Nigella's Christmas Kitchen",Recipe,16,4625,Person,Nigella Lawson,0.00:30:00,0.01:00:00,Side dishes,,Serves 8,,"['http://schema.org/LowLactoseDiet', 'http://schema.org/GlutenFreeDiet', 'http://schema.org/VeganDiet', 'http://schema.org/VegetarianDiet']",FALSO
1778,Nigel Slater's apple crumble,Nigel Slater�s apple crumble balances tart Bramleys with an oat crumble topping that�s made extra crunchy by demerara sugar.,https://www.bbc.co.uk/food/recipes/applecrumble_89166,"make the most of apples, autumnal baking, back to basics, roast dinner desserts, roast pork belly menu, simple pleasures, snow day, vegetarian st george's day menu, autumn, bonfire night, christmas, winter, apple crumble, Bramley apple, egg free, nut free, pregnancy friendly, vegetarian, winter, spring, summer, autumn, A Taste of My Life",Recipe,53,4.5283E+15,Person,Nigel Slater,0.00:30:00,0.01:00:00,Desserts,British,Serves 4,,['http://schema.org/VegetarianDiet'],FALSO
1779,Slow cooker chilli con carne ,"Chocolate added at the end gives a richness to this easy slow cooker chilli. You can store any leftovers in the freezer for 2 months. 

Try it with soured cream, fluffy rice and a scoop of guacamole.",https://www.bbc.co.uk/food/recipes/slow_cooker_chilli_con_13029,"make-ahead dinners, prep-ahead meals, slow-cooked spicy food, slow cooker, autumn, bonfire night, winter, chilli con carne, brisket, egg free, nut free, winter, spring, autumn",Recipe,18,4.77778E+15,Person,Jane Hornby,0.00:30:00,0.02:00:00,Main course,American,Serves 6,,[],FALSO
1780,The Hairy Bikers' beef chilli,The Hairy Bikers' decadent chilli recipe uses a little chocolatey finish to take it to another dimension. This is a great batch cook or party recipe.,https://www.bbc.co.uk/food/recipes/beef_chilli_with_bitter_27455,"batch cook, autumn, bonfire night, winter, chilli con carne, braising steak, egg free, gluten free, nut free, pregnancy friendly, winter, autumn, Hairy Bikers Everyday Gourmets",Recipe,18,4.33333E+15,Person,The Hairy Bikers,0.00:30:00,0.02:00:00,Main course,Mexican,Serves 8�10,,['http://schema.org/GlutenFreeDiet'],FALSO
1781,Gluten-free Venetian carrot cake,"I long thought that carrot cake was an American invention, until I found out that an early version was made by Venetian Jews in the original ghetto. This modest disc is not much to look at - apart from a glorious golden-ness - but it is divine to eat. Only those with less austere eating habits will care to dollop alongside each damply crumbling wedge of cake my Italianate nod to the American cream-cheese frosting � a soft, rum-flavoured mascarpone cream.",https://www.bbc.co.uk/food/recipes/gluten-free_and_11807,"bake sale ideas, brilliant baking twists, crazy for carrots, dairy-free baking, gluten-free baking, gluten-free cake, gluten-free dessert recipes , italian-inspired desserts, world baking, birthday party, easter, winter, carrot cake, carrot, dairy free, gluten free, vegetarian, winter, autumn, Nigella Kitchen",Recipe,9,4.44444E+15,Person,Nigella Lawson,0.00:30:00,0.01:00:00,Cakes and baking,Italian,Serves 8-10,,"['http://schema.org/LowLactoseDiet', 'http://schema.org/GlutenFreeDiet', 'http://schema.org/VegetarianDiet']",FALSO
1782,Fideu� ,"This gorgeous Valencian dish is a one-pot wonder similar to paella that's a hit all over Spain and further afield. 
",https://www.bbc.co.uk/food/recipes/marias_fideu_61565,"party food, paella, squid, dairy free, winter, spring, autumn, Nigel Slater: Eating Together",Recipe,4,5,Person,Maria Grimwood,0.00:30:00,0.01:00:00,Main course,Spanish,Serves 6,,['http://schema.org/LowLactoseDiet'],FALSO
1783,Lancashire hotpot ,"This delicious Lancashire hotpot is so simple to make and so satisfying to eat - it will brighten up many a weekend.
",https://www.bbc.co.uk/food/recipes/nigel_slaters_lancashire_48954,"easy british, easy classics, english regional classics , lovely lamb, retro british, winter warmers, autumn, st george's day, winter, hotpot, lamb chop, floury potato, egg free, nut free, pregnancy friendly, winter, spring, autumn, Nigel Slater: Eating Together",Recipe,10,42,Person,Nigel Slater,0.00:30:00,0.02:00:00,Main course,British,Serves 3,,[],FALSO
1784,Beef cheek and butternut broth in sourdough ,"This hearty, filling soup requires very little washing up � just eat the bowl when you've finished! 
",https://www.bbc.co.uk/food/recipes/beef_cheek_and_butternut_59977,"seriously special soups, soup, beef, butternut squash, dairy free, nut free, pregnancy friendly, winter, spring, autumn, Nigel Slater: Eating Together",Recipe,3,3.33333E+16,Person,Nigel Slater,0.00:30:00,0.02:00:00,Light meals & snacks,Italian,Serves 4,,['http://schema.org/LowLactoseDiet'],FALSO
1785,Beef stew and dumplings ,"This hearty one-pot beef stew recipe boasts tender beef, chunky vegetables and dumplings to soak up the juices.
",https://www.bbc.co.uk/food/recipes/beef_stew_with_dumplings_15297,"comfort food, snow day, winter warmers, autumn, bonfire night, boxing day, st george's day, winter, beef stew, chuck and blade, egg free, nut free, winter, autumn, Nigel Slater: Eating Together",Recipe,8,4875,Person,Nigel Slater,0.00:30:00,0.02:00:00,Main course,British,Serves 4,,[],FALSO
1786,Boeuf bourguignon,"It�s worth getting good-quality, well-marbled meat from the butcher�s shop for this beef bourguignon recipe. The supermarket meat is often too lean and will become dry rather than succulent during the long cooking. Serve with creamy mashed potatoes and some green vegetables, or even a crisp side salad with a mustardy dressing.",https://www.bbc.co.uk/food/recipes/boeuf_bourguignon_25475,"christmas eve, easy crowd-pleasers, food for giving, winter stews, Beef bourguignon, braising steak, egg free, nut free, winter, autumn, Hairy Bikers' Best of British",Recipe,52,4.84615E+15,Person,The Hairy Bikers,0.00:30:00,0.02:00:00,Main course,French,Serves 6,,[],FALSO
1787,Purple sprouting broccoli on toast,"Give beans a miss and make a quick and filling dinner on toast with purple sprouting broccoli, fried in garlic, chilli and a crispy fried egg. Tenderstem broccoli will also work well. ",https://www.bbc.co.uk/food/recipes/purplesproutingbrocc_83642,"quick, good things on toast , up your veg game, lunch, student food, purple sprouting broccoli, egg, dairy free, nut free, pregnancy friendly, winter, spring, Saturday Kitchen",Recipe,2,5,Organization,BBC Food,0.00:30:00,0.00:10:00,Light meals & snacks,,Serves 2,,['http://schema.org/LowLactoseDiet'],FALSO
1788,Beef stew,"For the coldest wintry evenings, tuck into a rich beef stew with fluffy dumplings to warm you right down to your toes.",https://www.bbc.co.uk/food/recipes/beefstewwithdumpling_87333,"comfort food, family comfort food, winter warmers, autumn, bonfire night, new year and hogmanay, winter, beef stew, braising steak, egg free, nut free, winter, autumn, 2007-16",Recipe,47,4.82979E+15,Person,James Martin,0.00:30:00,0.02:00:00,Main course,British,Serves 4,,[],FALSO
1789,Mussel pilav,Orzo (or Turkish arpa sehriye) is a short-cut pasta that looks a bit like rice. Here it�s combined with plump Turkish baldo rice to make a delicious seafood pilav.,https://www.bbc.co.uk/food/recipes/mussel_pilav_38570,"quick, quick rice, turkish delights, pilaf, mussels, egg free, nut free, pregnancy friendly, winter, spring, autumn, Nigel Slater's Middle East",Recipe,,,Person,Nigel Slater,0.00:30:00,0.00:30:00,Main course,Turkish and Middle Eastern,Serves 2�3,,[],FALSO
1790,"Baked Cornish cod piperade, Cornish mussels and basil mayonnaise","Basque in the heady flavours of quick-salted baked cod, mussels, chorizo and chickpeas in this flavour-packed fancy fish stew made with West Country ingredients.
",https://www.bbc.co.uk/food/recipes/baked_cornish_cod_83094,"mussels, nut free, Saturday Kitchen",Recipe,9,5,Person,Paul Ainsworth,0.02:00:00,0.00:30:00,Main course,,Serves 4,,[],FALSO
1791,"Crab ravioli with mussel with potato mariniere, wilted spinach and caviar","Make your own pasta dough for a luxurious ravioli filled with a delicate salmon and crab mousse and topped with caviar and a lobster crisp. 
 
Equipment and preparation: for this recipe you will need a food processor, a pasta machine, a round cutter and a hand-held blender.",https://www.bbc.co.uk/food/recipes/crab_and_mussel_ravioli_51406,"ravioli, crab, Saturday Kitchen Best Bites",Recipe,,,Person,Mark Jordan,0.01:00:00,0.02:00:00,Main course,Italian,Serves 4,,[],FALSO
1792,Salmon en papillote with herb salad,"Cooking salmon in this way is easy. It also stops it from drying out and means you can infuse it with flavour. 
",https://www.bbc.co.uk/food/recipes/salmon_en_papillote_with_45201,"quick, salmon, egg free, Saturday Kitchen",Recipe,12,4.33333E+15,Person,Adam Byatt,0.00:30:00,0.00:30:00,Main course,French,Serves 2,,[],FALSO
1793,Toad in the hole,"You've got to love a warming toad-in-the-hole recipe when there's a nip in the air. Skip the garlic cabbage if you like and serve with another green vegetable of your choice. This is designed to be a low cost recipe.
",https://www.bbc.co.uk/food/recipes/toad_in_the_hole_with_86283,"10 absolute classics, 12 family favourites, back to basics, cheap sausage, easy classics, england's finest, go retro, retro british, the best sausage, under �4 family dinners, winter warmers, autumn, student food, st george's day, winter, toad in the hole, sausage, nut free, pregnancy friendly, winter, spring, autumn, Great British Budget Menu",Recipe,62,3.70968E+16,Person,Galton Blackiston,0.02:00:00,0.01:00:00,Main course,British,Serves 4,,[],FALSO
1794,Easy cottage pie,"James Martin's easy cottage pie recipe is a family favourite. He goes back to basics to show you how to make a classic version, but easier.",https://www.bbc.co.uk/food/recipes/classiccottagepie_90765,"12 family favourites, easy british, easy classics, food for giving, potato favourites, autumn, filling pies, using up mashed potato, winter warmers, easy family dinners, student food, st george's day, winter, cottage pie, beef mince, King Edward, egg free, nut free, winter, spring, autumn, Saturday Kitchen",Recipe,52,4.57692E+15,Person,James Martin,0.00:30:00,0.02:00:00,Main course,British,Serves 6,,[],FALSO
1795,Healthy shepherd�s pie,"This healthy shepherd's pie is perfect if your kids are fussy eaters. It's not exactly cheating by hiding their five-a-day inside. And even if it is, no jury will convict you! Plus this pie is freezer friendly so perfect for making in advance. 

This meal served as six portions provides 466 kcal, 27g protein, 36g carbohydrate (of which 10g sugars), 24g fat (of which 13g saturates), 8g fibre and 1g salt per portion.


",https://www.bbc.co.uk/food/recipes/hidden_vegetables_05418,"500-calorie dinners, easy hidden veg dinners, food for giving, half-term hits, healthy dinner, healthier fast food, healthy recipes to make and freeze, making the most of mince, recipes for fussy eaters, filling pies, veg-packed comfort food, sleep-friendly, summery family favourites, autumn, easy family dinners, winter, shepherd's pie, lamb mince, floury potato, cauliflower, egg free, healthy, nut free, pregnancy friendly, winter, spring, autumn",Recipe,7,4.71429E+15,Person,Justine Pattison,0.00:30:00,0.02:00:00,Main course,British,Serves 5-6,"{'calories': '466kcal', 'carbohydrateContent': '36g', 'fatContent': '24g', 'fiberContent': '8g', 'proteinContent': '27g', 'saturatedFatContent': '13g', 'sugarContent': '10g'}",['http://schema.org/LowCalorieDiet'],FALSO
1796,French onion soup,French onion soup is very easy to make and is deeply savoury and hearty - and cheesy cro�tons make it extra special!,https://www.bbc.co.uk/food/recipes/how_to_make_french_onion_87434,"christmas soups, easy dinner party, making the most of vegetables, seriously special soups, simple festive suppers, warming soup, christmas, dinner party, new year and hogmanay, winter, soup, onion, beef stock, gruy�re, egg free, nut free, winter, spring, autumn",Recipe,5,48,Person,Paul Merrett,0.00:30:00,0.01:00:00,Main course,French,Serves 4,,[],FALSO
1797,Healthy chicken pie,"This healthy chicken pie is easy to make and still feels like a proper pie - even though it's lower in calories. Serve with steamed veg, it's so filling you don't need anything else.

For this recipe you will need two individual pie dishes (about 400ml/14fl oz).

Each serving provides 344kcal, 41g protein, 12g carbohydrate (of which 8g sugars), 14g fat (of which 6g saturates), 3g fibre and 1.5g salt.",https://www.bbc.co.uk/food/recipes/lighter_chicken_bacon_60415,"comfort food, diabetes, healthy british classics, healthy comfort food, low-calorie comfort food, make-ahead dinners, motivational recipes for 1-2 , autumn, healthy diet plans, st david's day, winter, chicken pie, chicken breast, egg free, healthy, nut free, pregnancy friendly, winter, spring, autumn, Food: Truth or Scare",Recipe,8,4875,Person,Deborah Reddihough,0.00:30:00,0.01:00:00,Main course,,Serves 2,"{'calories': '344kcal', 'carbohydrateContent': '12g', 'fatContent': '14g', 'fiberContent': '3g', 'proteinContent': '41g', 'saturatedFatContent': '6g', 'sugarContent': '8g'}",['http://schema.org/LowCalorieDiet'],FALSO
1798,Nigel Slater's apple crumble,Nigel Slater�s apple crumble balances tart Bramleys with an oat crumble topping that�s made extra crunchy by demerara sugar.,https://www.bbc.co.uk/food/recipes/applecrumble_89166,"make the most of apples, autumnal baking, back to basics, roast dinner desserts, roast pork belly menu, simple pleasures, snow day, vegetarian st george's day menu, autumn, bonfire night, christmas, winter, apple crumble, Bramley apple, egg free, nut free, pregnancy friendly, vegetarian, winter, spring, summer, autumn, A Taste of My Life",Recipe,53,4.5283E+15,Person,Nigel Slater,0.00:30:00,0.01:00:00,Desserts,British,Serves 4,,['http://schema.org/VegetarianDiet'],FALSO
1799,James Martin's roast chicken with spring vegetable fricass�e ,"Try this classic roast chicken recipe with a fricass�e of spring vegetables for a fresh, no-fuss Sunday lunch.
",https://www.bbc.co.uk/food/recipes/roast_chicken_02598,"roast dinner, roast chicken, chicken, egg free, gluten free, nut free, pregnancy friendly, spring, James Martin: Home Comforts",Recipe,,,Person,James Martin,0.00:30:00,0.02:00:00,Main course,French,Serves 4-6,,['http://schema.org/GlutenFreeDiet'],FALSO
1800,Slow cooker chilli con carne ,"Chocolate added at the end gives a richness to this easy slow cooker chilli. You can store any leftovers in the freezer for 2 months. 

Try it with soured cream, fluffy rice and a scoop of guacamole.",https://www.bbc.co.uk/food/recipes/slow_cooker_chilli_con_13029,"make-ahead dinners, prep-ahead meals, slow-cooked spicy food, slow cooker, autumn, bonfire night, winter, chilli con carne, brisket, egg free, nut free, winter, spring, autumn",Recipe,18,4.77778E+15,Person,Jane Hornby,0.00:30:00,0.02:00:00,Main course,American,Serves 6,,[],FALSO
1801,Fideu� ,"This gorgeous Valencian dish is a one-pot wonder similar to paella that's a hit all over Spain and further afield. 
",https://www.bbc.co.uk/food/recipes/marias_fideu_61565,"party food, paella, squid, dairy free, winter, spring, autumn, Nigel Slater: Eating Together",Recipe,4,5,Person,Maria Grimwood,0.00:30:00,0.01:00:00,Main course,Spanish,Serves 6,,['http://schema.org/LowLactoseDiet'],FALSO
1802,Lancashire hotpot ,"This delicious Lancashire hotpot is so simple to make and so satisfying to eat - it will brighten up many a weekend.
",https://www.bbc.co.uk/food/recipes/nigel_slaters_lancashire_48954,"easy british, easy classics, english regional classics , lovely lamb, retro british, winter warmers, autumn, st george's day, winter, hotpot, lamb chop, floury potato, egg free, nut free, pregnancy friendly, winter, spring, autumn, Nigel Slater: Eating Together",Recipe,10,42,Person,Nigel Slater,0.00:30:00,0.02:00:00,Main course,British,Serves 3,,[],FALSO
1803,Beef cheek and butternut broth in sourdough ,"This hearty, filling soup requires very little washing up � just eat the bowl when you've finished! 
",https://www.bbc.co.uk/food/recipes/beef_cheek_and_butternut_59977,"seriously special soups, soup, beef, butternut squash, dairy free, nut free, pregnancy friendly, winter, spring, autumn, Nigel Slater: Eating Together",Recipe,3,3.33333E+16,Person,Nigel Slater,0.00:30:00,0.02:00:00,Light meals & snacks,Italian,Serves 4,,['http://schema.org/LowLactoseDiet'],FALSO
1804,Purple sprouting broccoli on toast,"Give beans a miss and make a quick and filling dinner on toast with purple sprouting broccoli, fried in garlic, chilli and a crispy fried egg. Tenderstem broccoli will also work well. ",https://www.bbc.co.uk/food/recipes/purplesproutingbrocc_83642,"quick, good things on toast , up your veg game, lunch, student food, purple sprouting broccoli, egg, dairy free, nut free, pregnancy friendly, winter, spring, Saturday Kitchen",Recipe,2,5,Organization,BBC Food,0.00:30:00,0.00:10:00,Light meals & snacks,,Serves 2,,['http://schema.org/LowLactoseDiet'],FALSO
1805,Mussel pilav,Orzo (or Turkish arpa sehriye) is a short-cut pasta that looks a bit like rice. Here it�s combined with plump Turkish baldo rice to make a delicious seafood pilav.,https://www.bbc.co.uk/food/recipes/mussel_pilav_38570,"quick, quick rice, turkish delights, pilaf, mussels, egg free, nut free, pregnancy friendly, winter, spring, autumn, Nigel Slater's Middle East",Recipe,,,Person,Nigel Slater,0.00:30:00,0.00:30:00,Main course,Turkish and Middle Eastern,Serves 2�3,,[],FALSO
1806,Homemade Easter eggs,"Forget big plastic boxes and cheap chocolate � make your own homemade Easter eggs for maximum taste (and fun!).

Equipment and preparation: You will need 8 x small egg moulds (available from specialist kitchen shops). ",https://www.bbc.co.uk/food/recipes/homemadechocolateeas_4891,"easter baking with kids, easter gifts, easter, sweets, chocolate, egg free, gluten free, nut free, pregnancy friendly, vegetarian, spring",Recipe,2,5,Organization,BBC Food,0.02:00:00,0.00:30:00,Desserts,,Makes 6�8 eggs,,"['http://schema.org/GlutenFreeDiet', 'http://schema.org/VegetarianDiet']",FALSO
1807,Mary Berry's hot cross buns,"Mary's going to be so proud that you made your own hot cross buns this Easter.  Lucky thing her recipe is completely foolproof.

For this recipe you will need a piping bag fitted witha  fine 3mm nozzle, but if you don't have a nozzle you could use a piping bag and snip the end off. ",https://www.bbc.co.uk/food/recipes/mary_berrys_hot_cross_65003,"easter baking, mary berry's easter, easter, spring recipes , hot cross buns, sultanas, nut free, pregnancy friendly, vegetarian, spring, Mary Berry's Easter Feast",Recipe,66,4.21212E+15,Person,Mary Berry,0.02:00:00,0.00:30:00,Cakes and baking,British,Makes 12 buns,,['http://schema.org/VegetarianDiet'],FALSO
1808,Cheesy leeks ,"Cheesy leeks are great as a side dish for roast chicken � especially if you are serving vegetarians as well as meat eaters. This recipe makes enough for a generous supper for two or a vegetable accompaniment for four. 
",https://www.bbc.co.uk/food/recipes/cheesy_leeks_46292,"quick, easter sides, easy easter roast lamb menu, quick sides for roast dinner, roast dinner, spring recipes , gratin, leek, egg free, nut free, pregnancy friendly, vegetarian, winter, spring, autumn",Recipe,16,45625,Person,Justine Pattison,0.00:30:00,0.00:30:00,Side dishes,,Serves 2�4,,['http://schema.org/VegetarianDiet'],FALSO
1809,Smoked pancetta and lentil soup,"A hearty yet healthy filling soup! It's a great lunch to take to work and can be frozen in batches to have on standby in the freezer.  

Each serving provides 428 kcal, 29g protein, 45g carbohydrate, 12g fat, 10g fibre.",https://www.bbc.co.uk/food/recipes/smoked_pancetta_and_69013,"500-calorie dinners, batch cook, perfect pulses, autumn, bonfire night, easy family dinners, lunch, winter, soup, pancetta, red lentil, dairy free, egg free, nut free, pregnancy friendly, winter, spring, Lose Weight and Get Fit with Tom Kerridge",Recipe,14,5,Person,Tom Kerridge,0.00:30:00,0.01:00:00,Main course,,Serves 6,"{'calories': '428kcal', 'carbohydrateContent': '45g', 'fatContent': '12g', 'fiberContent': '10g', 'proteinContent': '29g'}",['http://schema.org/LowLactoseDiet'],FALSO
1810,Beef and mushroom stew ,Mary Berry's beef stew is smart enough to serve for a dinner party. Serve with mash or potatoes dauphinoise and green vegetables. ,https://www.bbc.co.uk/food/recipes/rich_beef_and_mushroom_77312,"batch cook, mary berry's easter, simple festive suppers, dinner party, beef stew, shin, dairy free, egg free, nut free, winter, spring, autumn, Mary Berry Cooks",Recipe,12,475,Person,Mary Berry,0.00:30:00,0.02:00:00,Main course,,Serves 10,,['http://schema.org/LowLactoseDiet'],FALSO
